Query	data
 Why does the industrial designer think the sample speaker is a bad idea?	{"Person":"industrial designer","Subject1":"sample speaker","What-Was-Said-About-the-Subject":"bad idea"}
 What are the overlaps?	{"Subject1":"overlaps"}
 What are the overlaps?	{"Subject1":"overlaps"}
 What are the different perspectives on the importance of body language in meetings?	{"Subject1":"meetings","What-Was-Said-About-the-Subject":"importance of body language"}
 What are the different perspectives on the importance of body language in meetings?	{"Subject1":"body language","What-Was-Said-About-the-Subject":"different perspectives on the importance"}
 What is the higher education Brexit working group focusing on?	{"What-Was-Said-About-the-Subject":"Brexit working group focusing on","Subject1":"higher education"}
 What is the higher education Brexit working group focusing on?	{"Subject1":"higher education","What-Was-Said-About-the-Subject":"Brexit working group"}
 What is the main difference between young people and elderly people when it comes to the use of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"difference between young people and elderly people"}
 What is the main difference between young people and elderly people when it comes to the use of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"difference between young people and elderly people"}
 What will happen to the curve if the scroll wheel is "uncurved"?	{"Subject1":"scroll wheel","What-Was-Said-About-the-Subject":"uncurved"}
 What will happen to the curve if the scroll wheel is "uncurved"?	{"Subject1":"scroll wheel","What-Was-Said-About-the-Subject":"uncurved"}
 What does the industrial designer think of the design?	{"Subject1":"design","Person":"industrial designer"}
 What does the industrial designer think of the design?	{"Person":"industrial designer","Subject1":"design","What-Was-Said-About-the-Subject":"industrial designer think"}
 What does the professor say about barriers?	{"Subject1":"barriers","What-Was-Said-About-the-Subject":"professor say","Person":"professor"}
 What does the professor say about barriers?	{"Subject1":"barriers","What-Was-Said-About-the-Subject":"professor say","Person":"professor"}
 Why does the marketing manager want to scrap the sample speaker?	{"Subject1":"sample speaker","Person":"marketing manager","What-Was-Said-About-the-Subject":"scrap"}
 Why does the marketing manager want to scrap the sample speaker?	{"Person":"marketing manager","What-Was-Said-About-the-Subject":"want to scrap","Subject1":"sample speaker"}
 What does the industrial designer want to make with the scroll wheel?	{"Subject1":"scroll wheel","Person":"industrial designer"}
 What does the industrial designer want to make with the scroll wheel?	{"Person":"industrial designer","Subject1":"scroll wheel"}
 What are the five colours that can be made with the original rubber?	{"Subject1":"original rubber","What-Was-Said-About-the-Subject":"five colours"}
 What are the five colours that can be made with the original rubber?	{"Subject1":"original rubber","What-Was-Said-About-the-Subject":"five colours"}
 What are the benefits, and drawbacks, of Noisy-ORs?	{"What-Was-Said-About-the-Subject":"benefits, and drawbacks","Subject1":"Noisy-ORs"}
 What are the benefits, and drawbacks, of Noisy-ORs?	{"Subject1":"Noisy-ORs","What-Was-Said-About-the-Subject":"benefits, and drawbacks"}
 What are the forms that Professor B and Grad C discussed?	{"Subject1":"forms","What-Was-Said-About-the-Subject":"Professor B and Grad C discussed","Person":"Professor B and Grad C"}
 What are the forms that Professor B and Grad C discussed?	{"Subject1":"forms","Person":"Professor B and Grad C","What-Was-Said-About-the-Subject":"Professor B and Grad C discussed"}
 What is the controversy over the final paragraph of permission form?	{"Subject1":"permission form","What-Was-Said-About-the-Subject":"controversy over the final paragraph"}
 What is the controversy over the final paragraph of permission form?	{"Subject1":"permission form","What-Was-Said-About-the-Subject":"controversy over the final paragraph"}
 What are the initial thoughts on the design of a remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"initial thoughts on the design"}
 What are the initial thoughts on the design of a remote control?	{"Subject1":"design of a remote control"}
 What is the professor's opinion on the use of Java Bayes?	{"Subject1":"Java Bayes","What-Was-Said-About-the-Subject":"professor's opinion","Person":"professor"}
 What is the professor's opinion on the use of Java Bayes?	{"Subject1":"Java Bayes","What-Was-Said-About-the-Subject":"professor's opinion"}
 What is the Project Manager's opinion on the curve of the scroll wheel?	{"Subject1":"scroll wheel","Person":"Project Manager","What-Was-Said-About-the-Subject":"Project Manager's opinion on the curve"}
 What is the Project Manager's opinion on the curve of the scroll wheel?	{"Subject1":"curve of the scroll wheel","What-Was-Said-About-the-Subject":"Project Manager's opinion","Person":"Project Manager"}
 What would happen if the scroll wheel was not made of rubber?	{"Subject1":"scroll wheel","What-Was-Said-About-the-Subject":"not made of rubber"}
 What would happen if the scroll wheel was not made of rubber?	{"Subject1":"scroll wheel","What-Was-Said-About-the-Subject":"not made of rubber"}
 What is the Children and Social Services Act 2017?	{"Subject1":"Children and Social Services Act 2017"}
 What is the Children and Social Services Act 2017?	{"Subject1":"Children and Social Services Act 2017"}
 What are the different pieces of information of the new controller that they are discussing?	{"Subject1":"new controller","What-Was-Said-About-the-Subject":"different pieces of information"}
 What are the different pieces of information of the new controller that they are discussing?	{"Subject1":"new controller","What-Was-Said-About-the-Subject":"different pieces of information"}
 What is the difference between a public and private school?	{"Subject1":"public and private school","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between a public and private school?	{"What-Was-Said-About-the-Subject":"difference","Subject1":"public and private school"}
 What was the methods you used to evaluate the design of the remote control?	{"Subject1":"remote control","What-Was-Said-About-the-Subject":"methods you used to evaluate the design"}
 What was the methods you used to evaluate the design of the remote control?	{"Subject1":"design of the remote control","What-Was-Said-About-the-Subject":"methods you used to evaluate"}
 What does the "hard to lose" function on the remote do?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"\"hard to lose\" function"}
 What does the "hard to lose" function on the remote do?	{"Subject1":"remote","What-Was-Said-About-the-Subject":"\"hard to lose\" function"}
 What are the consequences of implementing this legislation without the proper resources?	{"Subject1":"legislation without the proper resources","What-Was-Said-About-the-Subject":"consequences"}
 What are the consequences of implementing this legislation without the proper resources?	{"What-Was-Said-About-the-Subject":"consequences","Subject1":"legislation without the proper resources"}
 What is the purpose of the L_C_D_ display?	{"Subject1":"L_C_D_ display","What-Was-Said-About-the-Subject":"purpose"}
 What is the purpose of the L_C_D_ display?	{"Subject1":"L_C_D_ display","What-Was-Said-About-the-Subject":"purpose"}
 What is the probability that a landmark is closed?	{"Subject1":"landmark","What-Was-Said-About-the-Subject":"probability"}
 What is the probability that a landmark is closed?	{"Subject1":"landmark","What-Was-Said-About-the-Subject":"probability"}
 What are the implications of the Bill for children at the very far end of the spectrum?	{"Subject1":"Bill","What-Was-Said-About-the-Subject":"for children at the very far end of the spectrum"}
 What are the implications of the Bill for children at the very far end of the spectrum?	{"Subject1":"Bill","What-Was-Said-About-the-Subject":"children at the very far end of the spectrum"}
 What is the threshold for social services intervention?	{"Subject1":"social services intervention","What-Was-Said-About-the-Subject":"threshold"}
 What is the threshold for social services intervention?	{"Subject1":"social services intervention","What-Was-Said-About-the-Subject":"threshold"}
 What is the Welsh government's approach to child protection?	{"Subject1":"child protection","What-Was-Said-About-the-Subject":"Welsh government's approach"}
